date_actual,CIT_Net,player
2014-09-23 00:00:00,1241,Nrep
2014-09-30 00:00:00,-74103,Com
2014-09-30 00:00:00,44955,Index
2014-09-30 00:00:00,27206,Ncom
2014-09-30 00:00:00,1943,Nrep
2014-10-07 00:00:00,-78378,Com
2014-10-07 00:00:00,43715,Index
2014-10-07 00:00:00,32236,Ncom
2014-10-07 00:00:00,2428,Nrep
2014-10-14 00:00:00,-83577,Com
2014-10-14 00:00:00,42807,Index
2014-10-14 00:00:00,38201,Ncom
2014-10-14 00:00:00,2569,Nrep
2014-10-21 00:00:00,-83610,Com
2014-10-21 00:00:00,43668,Index
2014-10-21 00:00:00,37109,Ncom
2014-10-21 00:00:00,2833,Nrep
2014-10-28 00:00:00,-79206,Com
2014-10-28 00:00:00,44535,Index
2014-10-28 00:00:00,31620,Ncom
2014-10-28 00:00:00,3052,Nrep
2014-11-04 00:00:00,-74538,Com
2014-11-04 00:00:00,43909,Index
2014-11-04 00:00:00,28231,Ncom
2014-11-04 00:00:00,2399,Nrep
2014-11-11 00:00:00,-71876,Com
2014-11-11 00:00:00,41652,Index
2014-11-11 00:00:00,28007,Ncom
2014-11-11 00:00:00,2217,Nrep
2014-11-18 00:00:00,-75871,Com
2014-11-18 00:00:00,42536,Index
2014-11-18 00:00:00,30560,Ncom
2014-11-18 00:00:00,2775,Nrep
2014-11-25 00:00:00,-77896,Com
2014-11-25 00:00:00,39656,Index
2014-11-25 00:00:00,35433,Ncom
2014-11-25 00:00:00,2807,Nrep
2014-12-02 00:00:00,-73231,Com
2014-12-02 00:00:00,40090,Index
2014-12-02 00:00:00,31217,Ncom
2014-12-02 00:00:00,1923,Nrep
2014-12-09 00:00:00,-65106,Com
2014-12-09 00:00:00,40373,Index
2014-12-09 00:00:00,23707,Ncom
2014-12-09 00:00:00,1026,Nrep
2014-12-16 00:00:00,-62602,Com
2014-12-16 00:00:00,39997,Index
2014-12-16 00:00:00,21916,Ncom
2014-12-16 00:00:00,689,Nrep
2014-12-23 00:00:00,-58005,Com
