date_actual,CIT_Short,player
2014-02-04 00:00:00,-8992,Nrep
2014-02-11 00:00:00,-124237,Com
2014-02-11 00:00:00,-3482,Index
2014-02-11 00:00:00,-25645,Ncom
2014-02-11 00:00:00,-8014,Nrep
2014-02-18 00:00:00,-131554,Com
2014-02-18 00:00:00,-3548,Index
2014-02-18 00:00:00,-21337,Ncom
2014-02-18 00:00:00,-7464,Nrep
2014-02-25 00:00:00,-134891,Com
2014-02-25 00:00:00,-4362,Index
2014-02-25 00:00:00,-14880,Ncom
2014-02-25 00:00:00,-7669,Nrep
2014-03-04 00:00:00,-142148,Com
2014-03-04 00:00:00,-5541,Index
2014-03-04 00:00:00,-11647,Ncom
2014-03-04 00:00:00,-6339,Nrep
2014-03-11 00:00:00,-151074,Com
2014-03-11 00:00:00,-6192,Index
2014-03-11 00:00:00,-9601,Ncom
2014-03-11 00:00:00,-5964,Nrep
2014-03-18 00:00:00,-148896,Com
2014-03-18 00:00:00,-5978,Index
2014-03-18 00:00:00,-8288,Ncom
2014-03-18 00:00:00,-6415,Nrep
2014-03-25 00:00:00,-149041,Com
2014-03-25 00:00:00,-5596,Index
2014-03-25 00:00:00,-9265,Ncom
2014-03-25 00:00:00,-5655,Nrep
2014-04-01 00:00:00,-146089,Com
2014-04-01 00:00:00,-6013,Index
2014-04-01 00:00:00,-10092,Ncom
2014-04-01 00:00:00,-4879,Nrep
2014-04-08 00:00:00,-143437,Com
2014-04-08 00:00:00,-6251,Index
2014-04-08 00:00:00,-10447,Ncom
2014-04-08 00:00:00,-3978,Nrep
2014-04-15 00:00:00,-137680,Com
2014-04-15 00:00:00,-5038,Index
2014-04-15 00:00:00,-8117,Ncom
2014-04-15 00:00:00,-5604,Nrep
2014-04-22 00:00:00,-138263,Com
2014-04-22 00:00:00,-5525,Index
2014-04-22 00:00:00,-8306,Ncom
2014-04-22 00:00:00,-3461,Nrep
2014-04-29 00:00:00,-139752,Com
2014-04-29 00:00:00,-6578,Index
2014-04-29 00:00:00,-7568,Ncom
